Date;Open;High;Low;Close;Adj Close;Volume;;Date;sentiment_polarity;sentiment_neg;sentiment_neu;sentiment_pos;news_count
1.07.2020;91.27999878;91.83999634;90.97750092;91.02749634;89.01942444;110737200;;2.07.2020;0.344;0.067666667;0.828666667;0.103666667;3
2.07.2020;91.96250153;92.61750031;90.91000366;91.02749634;89.01942444;114041600;;3.07.2020;-0.153;0.04;0.918;0.043;1
6.07.2020;92.5;93.94499969;92.46749878;93.46250153;91.40068817;118655600;;7.07.2020;0.900666667;0.056;0.853333333;0.090666667;3
7.07.2020;93.85250092;94.65499878;93.05750275;93.17250061;91.11707306;112424400;;8.07.2020;-0.676;0.054;0.909;0.037;2
8.07.2020;94.18000031;95.375;94.08999634;95.34249878;93.23921967;117092000;;11.07.2020;0.994;0.034;0.873;0.093;2
9.07.2020;96.26249695;96.31749725;94.67250061;95.75250244;93.64017487;125642800;;14.07.2020;0.992;0.026;0.888;0.086;2
10.07.2020;95.33499908;95.98000336;94.70500183;95.91999817;93.8039856;90257200;;15.07.2020;0.999;0.029;0.841;0.129;1
13.07.2020;97.26499939;99.95500183;95.25749969;95.47750092;93.37125397;191649200;;16.07.2020;0.927;0.0335;0.882;0.084;4
14.07.2020;94.83999634;97.25499725;93.87750244;97.05750275;94.91638947;170989200;;17.07.2020;0.819;0.054;0.868;0.079;2
15.07.2020;98.98999786;99.24749756;96.48999786;97.72499847;95.56916809;153198000;;20.07.2020;0.987;0.041;0.868;0.091;2
16.07.2020;96.5625;97.40499878;95.90499878;96.52249908;94.39318085;110577600;;30.07.2020;0.976;0.023;0.916;0.061;2
17.07.2020;96.98750305;97.14749908;95.83999634;96.32749939;94.20249176;92186800;;3.08.2020;0.93875;0.03475;0.8895;0.07575;8
20.07.2020;96.41750336;98.5;96.0625;98.35749817;96.18770599;90318000;;5.08.2020;0.906;0.022;0.885;0.093;2
21.07.2020;99.17250061;99.25;96.74250031;97;94.8601532;103433200;;6.08.2020;0.984;0.031;0.892;0.077;2
22.07.2020;96.69249725;97.97499847;96.60250092;97.27249908;95.12664032;89001600;;7.08.2020;0.989;0.051;0.856;0.093;1
